model_a,model_b,layer,metric,boot_mean,ci_low,ci_high,n_boot
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_0,knn_overlap,0.6167615910888646,0.600942257232505,0.6301416610941089,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_0,procrustes_residual,0.0071943231616187235,0.007143237300208681,0.007242708666836357,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_0,rsa_spearman,0.9406303461412869,0.9370260162891043,0.9441309067618018,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_12,cka,0.8969340087473392,0.8903163447976112,0.9032460853457451,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_12,knn_overlap,0.4962522388371217,0.48028606747032637,0.5116353486304144,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_12,procrustes_residual,0.008084032692076089,0.00800996759771559,0.00816293129484411,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_12,rsa_spearman,0.8399229373641325,0.8193887232065684,0.8614380759482251,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_16,cka,0.9493777310848236,0.9460996329784394,0.9527541920542717,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_16,knn_overlap,0.37305712275913516,0.35801322767789484,0.38878193607397366,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_16,procrustes_residual,0.009020844613667263,0.008933371018426084,0.009109846285906406,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_16,rsa_spearman,0.819095781990027,0.8027968300110089,0.8334699561855943,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_4,cka,0.9609718425571918,0.9592831626534462,0.9625733345746994,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_4,knn_overlap,0.5654606069002306,0.5490533907204768,0.5808676244600199,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_4,procrustes_residual,0.006653554417403662,0.006592142440233426,0.006708463024305072,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_4,rsa_spearman,0.8332699052664145,0.8199773274611478,0.8467967658168981,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_8,cka,0.9047620958089828,0.899006287753582,0.9101004734635353,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_8,knn_overlap,0.4821646101252477,0.4675433344658866,0.4977896667351969,400
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_8,procrustes_residual,0.008322574815807388,0.00824682172621307,0.00840091147329765,400
