from_model,to_model,from_layer,to_layer,cka
gemma2_2b,gemma3_1b_pt,layer_0,layer_6,0.7988348007202148
gemma2_2b,gemma3_1b_pt,layer_0,layer_8,0.5643665194511414
gemma2_2b,gemma3_1b_pt,layer_0,layer_10,0.6079918742179871
gemma2_2b,gemma3_1b_pt,layer_0,layer_12,0.5924711227416992
gemma2_2b,gemma3_1b_pt,layer_2,layer_0,0.9335078001022339
gemma2_2b,gemma3_1b_pt,layer_2,layer_2,0.8491420149803162
gemma2_2b,gemma3_1b_pt,layer_2,layer_4,0.9045922756195068
gemma2_2b,gemma3_1b_pt,layer_2,layer_6,0.7377698421478271
gemma2_2b,gemma3_1b_pt,layer_2,layer_8,0.5193656086921692
gemma2_2b,gemma3_1b_pt,layer_2,layer_10,0.6029248237609863
gemma2_2b,gemma3_1b_pt,layer_2,layer_12,0.6236008405685425
gemma2_2b,gemma3_1b_pt,layer_4,layer_0,0.9350757002830505
gemma2_2b,gemma3_1b_pt,layer_4,layer_2,0.8450420498847961
gemma2_2b,gemma3_1b_pt,layer_4,layer_4,0.9060351848602295
gemma2_2b,gemma3_1b_pt,layer_4,layer_6,0.7485957145690918
gemma2_2b,gemma3_1b_pt,layer_4,layer_8,0.5087783932685852
gemma2_2b,gemma3_1b_pt,layer_4,layer_10,0.620410144329071
gemma2_2b,gemma3_1b_pt,layer_4,layer_12,0.643774688243866
gemma2_2b,gemma3_1b_pt,layer_6,layer_0,0.9510833621025085
gemma2_2b,gemma3_1b_pt,layer_6,layer_2,0.8377423882484436
gemma2_2b,gemma3_1b_pt,layer_6,layer_4,0.91379714012146
gemma2_2b,gemma3_1b_pt,layer_6,layer_6,0.8018240928649902
gemma2_2b,gemma3_1b_pt,layer_6,layer_8,0.5528188943862915
gemma2_2b,gemma3_1b_pt,layer_6,layer_10,0.6397058963775635
gemma2_2b,gemma3_1b_pt,layer_6,layer_12,0.6688488125801086
gemma2_2b,gemma3_1b_pt,layer_8,layer_0,0.9350903034210205
gemma2_2b,gemma3_1b_pt,layer_8,layer_2,0.8165163993835449
gemma2_2b,gemma3_1b_pt,layer_8,layer_4,0.8966290950775146
gemma2_2b,gemma3_1b_pt,layer_8,layer_6,0.8161136507987976
gemma2_2b,gemma3_1b_pt,layer_8,layer_8,0.5919438004493713
gemma2_2b,gemma3_1b_pt,layer_8,layer_10,0.6541342735290527
gemma2_2b,gemma3_1b_pt,layer_8,layer_12,0.6949813365936279
gemma2_2b,gemma3_1b_pt,layer_10,layer_0,0.9369283318519592
gemma2_2b,gemma3_1b_pt,layer_10,layer_2,0.7965136170387268
gemma2_2b,gemma3_1b_pt,layer_10,layer_4,0.8808884620666504
gemma2_2b,gemma3_1b_pt,layer_10,layer_6,0.8349598050117493
gemma2_2b,gemma3_1b_pt,layer_10,layer_8,0.5674070119857788
gemma2_2b,gemma3_1b_pt,layer_10,layer_10,0.6178183555603027
gemma2_2b,gemma3_1b_pt,layer_10,layer_12,0.6810137033462524
gemma2_2b,gemma3_1b_pt,layer_12,layer_0,0.9144545793533325
gemma2_2b,gemma3_1b_pt,layer_12,layer_2,0.7641163468360901
gemma2_2b,gemma3_1b_pt,layer_12,layer_4,0.8512433767318726
gemma2_2b,gemma3_1b_pt,layer_12,layer_6,0.8339011073112488
gemma2_2b,gemma3_1b_pt,layer_12,layer_8,0.5369791984558105
gemma2_2b,gemma3_1b_pt,layer_12,layer_10,0.60602867603302
gemma2_2b,gemma3_1b_pt,layer_12,layer_12,0.6969435811042786
gemma3_1b_pt,gemma3_4b_pt,layer_0,layer_0,0.9976361989974976
gemma3_1b_pt,gemma3_4b_pt,layer_0,layer_2,0.9524163007736206
gemma3_1b_pt,gemma3_4b_pt,layer_0,layer_4,0.9209769368171692
gemma3_1b_pt,gemma3_4b_pt,layer_0,layer_6,0.6259005665779114
