model_a,model_b,layer,domain,cka,rsa_spearman,knn_overlap,procrustes_residual
gemma1_1_2b_it,gemma3_4b_pt,layer_6,narrative_structure,0.5943537354469299,0.6407116036530004,0.5133653383653383,0.06809347465688895
gemma1_1_2b_it,gemma3_4b_pt,layer_6,symbolic_code,0.5394590497016907,0.6395446528566132,0.4922165253047605,0.07351726672212062
gemma1_1_2b_it,gemma3_4b_pt,layer_8,algebraic_geometry,0.45926758646965027,0.7572669069744095,0.5352314352314351,0.0810065771421041
gemma1_1_2b_it,gemma3_4b_pt,layer_8,analogy_composition,0.4283021092414856,0.6844371137251928,0.5332459207459207,0.08255581978967642
gemma1_1_2b_it,gemma3_4b_pt,layer_8,factual_recall,0.34792017936706543,0.7227146280787285,0.573029748029748,0.09112404355649704
gemma1_1_2b_it,gemma3_4b_pt,layer_8,logical_reasoning,0.550474226474762,0.7488483480246144,0.5708565943860062,0.07203300772928324
gemma1_1_2b_it,gemma3_4b_pt,layer_8,narrative_structure,0.38478246331214905,0.6811340096272235,0.5447243932538051,0.08860332412661205
gemma1_1_2b_it,gemma3_4b_pt,layer_8,symbolic_code,0.44670534133911133,0.7276742062927465,0.5430455165749283,0.08005585357670322
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_0,algebraic_geometry,0.5269774198532104,0.7627672438828129,0.6805638805638807,0.06731646405840827
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_0,analogy_composition,0.5938035845756531,0.7453166301957801,0.6758727383727384,0.06509459249103845
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_0,factual_recall,0.5679895281791687,0.8412667671569759,0.7049839049839051,0.06518226078924984
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_0,logical_reasoning,0.5622607469558716,0.7368669396316591,0.6680652680652681,0.06319725829847896
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_0,narrative_structure,0.5341773629188538,0.8574551806381572,0.736008436008436,0.06812927145521067
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_0,symbolic_code,0.5172264575958252,0.7600083868820021,0.6937562437562439,0.0660870995076188
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_10,algebraic_geometry,0.9022854566574097,0.7938213169877139,0.5501748251748251,0.03255689951385661
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_10,analogy_composition,0.9020258188247681,0.7397800892064875,0.5558358308358308,0.03352630636092669
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_10,factual_recall,0.8935964107513428,0.692541950139742,0.5798132423132424,0.03401685792864154
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_10,logical_reasoning,0.8828508257865906,0.6708815073163326,0.575484237984238,0.03549590360873968
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_10,narrative_structure,0.8913469910621643,0.7128380574311959,0.5885402995697113,0.034714152935502736
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_10,symbolic_code,0.8903098702430725,0.7407533470881069,0.5881837117131236,0.03541845417298988
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_12,algebraic_geometry,0.9216578602790833,0.8464658354742767,0.5794067044067043,0.031697343514516814
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_12,analogy_composition,0.8853939771652222,0.7226553165755002,0.5069055944055944,0.03569924204288658
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_12,factual_recall,0.8711086511611938,0.6801833419667876,0.5106504606504605,0.03780724408713414
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_12,logical_reasoning,0.8550377488136292,0.6320559869601687,0.5195110445110445,0.039013123722085714
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_12,narrative_structure,0.8752499222755432,0.6477627801284672,0.572654796184208,0.03755306142579232
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_12,symbolic_code,0.8838981986045837,0.7523395770098482,0.5833829569123686,0.036738030195216285
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_2,algebraic_geometry,0.9161208271980286,0.7701642829419036,0.5942779442779443,0.031368787464314506
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_2,analogy_composition,0.9097996950149536,0.6939007998770144,0.573674936174936,0.03328281580002942
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_2,factual_recall,0.9130222797393799,0.7979741025154691,0.6635642135642136,0.02979941488888114
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_2,logical_reasoning,0.9163728952407837,0.7329825533713588,0.6193917193917194,0.032631913505352585
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_2,narrative_structure,0.9141824245452881,0.770814019598602,0.6363636363636364,0.0308812580790031
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_2,symbolic_code,0.9192413687705994,0.7709319133297893,0.627067377067377,0.031199879979026273
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_4,algebraic_geometry,0.883195698261261,0.7658633506613935,0.5431665556665557,0.03461820874378426
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_4,analogy_composition,0.9041478633880615,0.6968521249563836,0.5345598845598845,0.03368397540598516
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_4,factual_recall,0.8850003480911255,0.695222276961749,0.5692501942501943,0.0344876104503371
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_4,logical_reasoning,0.8988285660743713,0.7505238244140815,0.5776820401820402,0.03346700156198742
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_4,narrative_structure,0.9027397036552429,0.7359059604084355,0.5747793872793874,0.03326189329473347
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_4,symbolic_code,0.8901724219322205,0.7451859081447177,0.555581918081918,0.03456869958634619
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_6,algebraic_geometry,0.8365654349327087,0.7169594473339934,0.4873917748917748,0.04005192726426852
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_6,analogy_composition,0.8731400966644287,0.6689189280209692,0.5222041847041847,0.037471225881907655
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_6,factual_recall,0.8693063259124756,0.6383373105975962,0.5645021645021645,0.03810828115625346
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_6,logical_reasoning,0.8551596999168396,0.6634213978485439,0.510590798090798,0.03865465556864263
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_6,narrative_structure,0.8818765878677368,0.7154918273804789,0.5349247974247973,0.03646449479359521
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_6,symbolic_code,0.8499671220779419,0.5926425538795792,0.534113109113109,0.04121310707087726
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_8,algebraic_geometry,0.8891226649284363,0.7857413213767824,0.555576368076368,0.034106569229852585
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_8,analogy_composition,0.8747045397758484,0.7066638290573142,0.5181457431457431,0.03657126574697289
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_8,factual_recall,0.8836880922317505,0.6843273220907689,0.5842754467754467,0.03511927927609623
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_8,logical_reasoning,0.8326191306114197,0.6197872441110089,0.540519203019203,0.03955301131139122
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_8,narrative_structure,0.872454822063446,0.694101233718977,0.562573211102623,0.036245443319428326
gemma1_1_2b_it,lfm2_5_1_2b_base,layer_8,symbolic_code,0.8860217332839966,0.7327607130280122,0.5703227328227328,0.03615273869178841
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_0,algebraic_geometry,0.5274285674095154,0.7619229876551065,0.6814574314574315,0.06732867590684692
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_0,analogy_composition,0.5941992402076721,0.7470167331507294,0.6789030414030415,0.06508538166395525
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_0,factual_recall,0.5670895576477051,0.8395620245397776,0.7015651015651017,0.06528755046926618
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_0,logical_reasoning,0.5613802075386047,0.7380730137740353,0.6690198690198691,0.06329868897282928
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_0,narrative_structure,0.5362375378608704,0.8584106935428915,0.733916083916084,0.0680608327784537
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_0,symbolic_code,0.5187622308731079,0.7636369165438752,0.6893994893994896,0.06605521173198571
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_10,algebraic_geometry,0.8784931898117065,0.7390970417657408,0.5419927294927295,0.03541638039028401
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_10,analogy_composition,0.9037841558456421,0.7544197773696807,0.5447538572538573,0.034683150076423155
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_10,factual_recall,0.8881063461303711,0.7003277881344545,0.5733530358530359,0.035111076484391386
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_10,logical_reasoning,0.876524806022644,0.6804008759072073,0.5932178932178932,0.03577566805340492
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_10,narrative_structure,0.8990299105644226,0.733527008214588,0.5899905649905649,0.03426733163538511
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_10,symbolic_code,0.8913456797599792,0.7277462725391165,0.5924186924186926,0.03589766726642979
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_12,algebraic_geometry,0.9072626233100891,0.8128706145947319,0.5825493950493948,0.03285059562304495
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_12,analogy_composition,0.9040097594261169,0.7333392620310984,0.5291791541791542,0.03436519186381513
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_12,factual_recall,0.8715484142303467,0.6973410401859834,0.555443167943168,0.03771652090308146
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_12,logical_reasoning,0.8918099403381348,0.6812298238463179,0.5660436785436785,0.03467954885079664
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_12,narrative_structure,0.8944568037986755,0.6542767447409042,0.593870753429577,0.03446235570139216
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_12,symbolic_code,0.9010066390037537,0.7563721619594213,0.6115644975939093,0.03431756026845584
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_2,algebraic_geometry,0.9097549319267273,0.7696884643708537,0.5750402375402376,0.03198660542227934
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_2,analogy_composition,0.910789966583252,0.6864259296180875,0.5675616050616051,0.0331466502272216
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_2,factual_recall,0.912513256072998,0.7949939656528986,0.6501831501831501,0.02977710729680576
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_2,logical_reasoning,0.9074161648750305,0.7218066738760686,0.6174547674547675,0.03324344470832411
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_2,narrative_structure,0.9091020822525024,0.7731833029440687,0.6311133311133311,0.03141677110256357
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_2,symbolic_code,0.9181298613548279,0.7714077037685586,0.6234761970056086,0.031411711688355375
