model_a,model_b,layer,metric,boot_mean,ci_low,ci_high,n_boot,boot_sample_size
gemma1_1_2b_it,gemma3_1b_it,layer_4,rsa_spearman,0.710769530808029,0.6798934590896965,0.7433108815827348,60,240
gemma1_1_2b_it,gemma3_1b_it,layer_6,cka,0.7597738265991211,0.7363965600728989,0.7853304490447044,60,240
gemma1_1_2b_it,gemma3_1b_it,layer_6,rsa_spearman,0.7758273167784111,0.7442801139486608,0.807961442995901,60,240
gemma1_1_2b_it,gemma3_1b_it,layer_8,cka,0.6553724269072215,0.6169741168618202,0.6972217068076133,60,240
gemma1_1_2b_it,gemma3_1b_it,layer_8,rsa_spearman,0.8413870608473637,0.8110608968074594,0.8615549507923427,60,240
gemma1_1_2b_it,gemma3_1b_pt,layer_0,cka,0.78057386080424,0.7347908809781074,0.8194719389081001,60,240
gemma1_1_2b_it,gemma3_1b_pt,layer_0,rsa_spearman,0.8656076923257067,0.8484981781580687,0.881008054962409,60,240
gemma1_1_2b_it,gemma3_1b_pt,layer_10,cka,0.639996721347173,0.5999694988131523,0.6727460414171219,60,240
gemma1_1_2b_it,gemma3_1b_pt,layer_10,rsa_spearman,0.8240376827616116,0.8003661016011566,0.8453040742939535,60,240
gemma1_1_2b_it,gemma3_1b_pt,layer_12,cka,0.673394454518954,0.6445978134870529,0.7001205548644066,60,240
gemma1_1_2b_it,gemma3_1b_pt,layer_12,rsa_spearman,0.8242731528033662,0.805402839481074,0.8418043500999167,60,240
gemma1_1_2b_it,gemma3_1b_pt,layer_2,cka,0.8757962683836619,0.8623513251543045,0.888080894947052,60,240
gemma1_1_2b_it,gemma3_1b_pt,layer_2,rsa_spearman,0.7943769653934626,0.7690302027983057,0.8158154342628731,60,240
gemma1_1_2b_it,gemma3_1b_pt,layer_4,cka,0.9068363606929779,0.8963401526212692,0.9165286183357239,60,240
gemma1_1_2b_it,gemma3_1b_pt,layer_4,rsa_spearman,0.6806935534431947,0.6472986672496325,0.7123507648521527,60,240
gemma1_1_2b_it,gemma3_1b_pt,layer_6,cka,0.8467981020609537,0.8322057217359543,0.8597699508070946,60,240
gemma1_1_2b_it,gemma3_1b_pt,layer_6,rsa_spearman,0.7252014948245926,0.6949392166702274,0.7564505593603542,60,240
gemma1_1_2b_it,gemma3_1b_pt,layer_8,cka,0.6349796762069067,0.6064601063728332,0.6594859749078751,60,240
gemma1_1_2b_it,gemma3_1b_pt,layer_8,rsa_spearman,0.7478954274794649,0.7080062174901675,0.7795742646790916,60,240
gemma1_1_2b_it,gemma3_4b_it,layer_0,cka,0.7853176981210709,0.7410646349191665,0.8233782812952996,60,240
gemma1_1_2b_it,gemma3_4b_it,layer_0,rsa_spearman,0.8859211682817701,0.8696274262982768,0.8990754414329701,60,240
gemma1_1_2b_it,gemma3_4b_it,layer_10,cka,0.5569994509220123,0.5110654950141906,0.5998330846428871,60,240
gemma1_1_2b_it,gemma3_4b_it,layer_10,rsa_spearman,0.8955644625100775,0.8843610346257544,0.9067753643056966,60,240
gemma1_1_2b_it,gemma3_4b_it,layer_12,cka,0.4814442957441012,0.4317834474146366,0.5351267665624618,60,240
gemma1_1_2b_it,gemma3_4b_it,layer_12,rsa_spearman,0.9259368281542886,0.9081883744209662,0.9396153858559455,60,240
gemma1_1_2b_it,gemma3_4b_it,layer_2,cka,0.9583749900261561,0.9549787819385529,0.962285615503788,60,240
gemma1_1_2b_it,gemma3_4b_it,layer_2,rsa_spearman,0.8085719809553269,0.7893581420667684,0.8310738677731275,60,240
gemma1_1_2b_it,gemma3_4b_it,layer_4,cka,0.9546773652235667,0.9488640934228897,0.9585857331752777,60,240
gemma1_1_2b_it,gemma3_4b_it,layer_4,rsa_spearman,0.7682635559610379,0.7371563617250779,0.7932243384915114,60,240
gemma1_1_2b_it,gemma3_4b_it,layer_6,cka,0.6534020205338796,0.5980375617742538,0.6986985206604004,60,240
gemma1_1_2b_it,gemma3_4b_it,layer_6,rsa_spearman,0.8503179049919658,0.8206358400743745,0.8709820478674276,60,240
gemma1_1_2b_it,gemma3_4b_it,layer_8,cka,0.6151505629221599,0.576038447022438,0.6512930035591126,60,240
gemma1_1_2b_it,gemma3_4b_it,layer_8,rsa_spearman,0.881552223053836,0.8639193650387298,0.8990605651082276,60,240
gemma1_1_2b_it,gemma3_4b_pt,layer_0,cka,0.7861335327227911,0.7419030353426933,0.8242694124579429,60,240
gemma1_1_2b_it,gemma3_4b_pt,layer_0,rsa_spearman,0.886120065286178,0.8690953461271211,0.8992713535779142,60,240
gemma1_1_2b_it,gemma3_4b_pt,layer_10,cka,0.5915532579024633,0.5612947702407837,0.6150830328464508,60,240
gemma1_1_2b_it,gemma3_4b_pt,layer_10,rsa_spearman,0.8970888778999472,0.8805981758524539,0.9096882561178785,60,240
gemma1_1_2b_it,gemma3_4b_pt,layer_12,cka,0.5090064957737923,0.4746557712554932,0.5324602469801902,60,240
gemma1_1_2b_it,gemma3_4b_pt,layer_12,rsa_spearman,0.8945609351916879,0.8799917265759996,0.9070628529927199,60,240
gemma1_1_2b_it,gemma3_4b_pt,layer_2,cka,0.9598713099956513,0.955925104022026,0.9638518869876862,60,240
gemma1_1_2b_it,gemma3_4b_pt,layer_2,rsa_spearman,0.8068466777052742,0.785588084413016,0.8270381529047304,60,240
gemma1_1_2b_it,gemma3_4b_pt,layer_4,cka,0.9360814988613129,0.9287505224347115,0.9423413142561913,60,240
gemma1_1_2b_it,gemma3_4b_pt,layer_4,rsa_spearman,0.7647931957437781,0.7388559682137754,0.7907718413933316,60,240
gemma1_1_2b_it,gemma3_4b_pt,layer_6,cka,0.7362374355395634,0.7085125565528869,0.7678234696388244,60,240
gemma1_1_2b_it,gemma3_4b_pt,layer_6,rsa_spearman,0.8389881973732752,0.8165958161733792,0.8635051279249129,60,240
