model_a,model_b,rep_drift,pred_rep_drift,residual,contrib_gen_gap,contrib_size_gap,contrib_tune_diff,contrib_domain_var,contrib_weight_drift,contrib_family_same
gemma1_1_2b_it,gemma3_4b_pt,0.27042408500398907,0.25861161000022714,0.011812475003761924,0.017459651767316668,0.024560865660139455,0.03425843951204574,0.23675737985313566,-0.040711892857852344,0.002141736061976183
gemma1_1_2b_it,lfm2_5_1_2b_base,0.06823576348168514,0.12854235103983896,-0.060306587558153824,0.01286500656539123,0.018100512954461044,0.03425843951204574,0.1264775653965276,-0.047304603392052454,0.0
gemma1_1_2b_it,lfm2_5_1_2b_instruct,0.08617939267839703,0.12902615232954473,-0.0428467596511477,0.01286500656539123,0.018100512954461044,0.03425843951204574,0.12693795667108965,-0.047281193376908726,0.0
gemma1_1_2b_it,lfm2_5_1_2b_thinking,0.1014627303395953,0.12399353439234731,-0.022530804052752013,0.01286500656539123,0.018100512954461044,0.03425843951204574,0.12179876940085654,-0.047174624043873035,0.0
gemma2_2b,gemma2_2b_it,0.022177474839346734,0.03549082753746199,-0.013313352698115254,0.0,0.0,0.03425843951204574,0.03372763556131276,-0.018782413601338487,0.002141736061976183
gemma2_2b,gemma3_1b_it,0.22920065266745426,0.26968518799292684,-0.04048453532547258,0.009189290403850879,0.024560865660139455,0.03425843951204574,0.2557775305511095,-0.04038810419966082,0.002141736061976183
gemma2_2b,gemma3_1b_pt,0.22103393077850342,0.2006652418867647,0.020368688891738707,0.009189290403850879,0.024560865660139455,0.0,0.22118558553249631,-0.0405576657751639,0.002141736061976183
gemma2_2b,gemma3_4b_it,0.28708168864250183,0.3085403840142209,-0.021458695371719072,0.009189290403850879,0.024560865660139455,0.03425843951204574,0.29772633337150906,-0.0434817109987662,0.002141736061976183
gemma2_2b,gemma3_4b_pt,0.26185739040374756,0.2403629976740859,0.021494392729661665,0.009189290403850879,0.024560865660139455,0.0,0.2638220154441117,-0.043496339899458114,0.002141736061976183
gemma2_2b,lfm2_5_1_2b_base,0.044073624270302925,0.03680201250407457,0.007271611766228356,0.0045946452019254395,0.018100512954461044,0.03425843951204574,0.039047347917338854,-0.043344363085162305,0.0
gemma2_2b,lfm2_5_1_2b_instruct,0.06451878377369469,0.039158429002898655,0.025360354770796033,0.0045946452019254395,0.018100512954461044,0.03425843951204574,0.04141193974813408,-0.04335253841713344,0.0
gemma2_2b,lfm2_5_1_2b_thinking,0.08770957163402016,0.049668683617663564,0.03804088801635659,0.0045946452019254395,0.018100512954461044,0.03425843951204574,0.05189682411932877,-0.04332716817356322,0.0
gemma2_2b_it,gemma3_1b_it,0.20585940565381733,0.22885188277871427,-0.022992477124896937,0.009189290403850879,0.024560865660139455,0.0,0.24949451109514745,-0.04067995044586548,0.002141736061976183
gemma2_2b_it,gemma3_1b_pt,0.2372961810656956,0.2313641001683732,0.005932080897322417,0.009189290403850879,0.024560865660139455,0.03425843951204574,0.21776995538130137,-0.04070161685440622,0.002141736061976183
gemma2_2b_it,gemma3_4b_it,0.25980596031461445,0.2647863775720234,-0.004980417257408942,0.009189290403850879,0.024560865660139455,0.0,0.2892417362087779,-0.044492680766186864,0.002141736061976183
gemma2_2b_it,gemma3_4b_pt,0.2787855863571167,0.2710313190967385,0.0077542672603782,0.009189290403850879,0.024560865660139455,0.03425843951204574,0.26123340271553186,-0.044497845260271396,0.002141736061976183
