model_a,model_b,rep_drift,rep_mean_cka,rep_mean_rsa,gen_gap,size_gap,tune_diff,domain_var,weight_drift,weight_l2,family_same
gemma3_1b_pt,lfm2_5_1_2b_thinking,0.21051893915448872,0.7894810608455113,0.6889187976309957,0.5,0.1823215567939546,1.0,0.21354519086830903,1.0490060496094682,212.70878444509415,0.0
gemma3_4b_it,gemma3_4b_pt,0.2639446258544922,0.7360553741455078,0.9554741167454746,0.0,0.0,1.0,0.185749202975369,1.0743604567764464e-05,1.22629329692179,1.0
gemma3_4b_it,lfm2_5_1_2b_base,0.3059021660259792,0.6940978339740208,0.7848019753086726,0.5,1.2039728043259361,1.0,0.28382263700002286,0.8280040194370553,248.09851521402337,0.0
gemma3_4b_it,lfm2_5_1_2b_instruct,0.2843822155679975,0.7156177844320025,0.7635423333200535,0.5,1.2039728043259361,1.0,0.28302599738741097,0.827836646967625,248.1011262148745,0.0
gemma3_4b_it,lfm2_5_1_2b_thinking,0.3530074741159167,0.6469925258840833,0.7177373192701705,0.5,1.2039728043259361,1.0,0.2842142736701633,0.8269566480510513,248.10834691964465,0.0
gemma3_4b_pt,lfm2_5_1_2b_base,0.30806173597063335,0.6919382640293666,0.7853676820793697,0.5,1.2039728043259361,1.0,0.25393618536878476,0.8282379601917513,248.50664462076887,0.0
gemma3_4b_pt,lfm2_5_1_2b_instruct,0.3031981544835227,0.6968018455164773,0.7546100827343839,0.5,1.2039728043259361,1.0,0.2552269550146807,0.828071214451385,248.50925561657223,0.0
gemma3_4b_pt,lfm2_5_1_2b_thinking,0.2704702530588422,0.7295297469411578,0.7390402144789638,0.5,1.2039728043259361,1.0,0.2550269936500098,0.8271903782207874,248.51645050456,0.0
lfm2_5_1_2b_base,lfm2_5_1_2b_instruct,0.04383793047496254,0.9561620695250375,0.9115814379817296,0.0,0.0,1.0,0.01755068848987751,2.8993355319917313e-06,0.0350366202826255,1.0
lfm2_5_1_2b_base,lfm2_5_1_2b_thinking,0.0620560390608651,0.9379439609391349,0.8333422893615126,0.0,0.0,1.0,0.03226663629461949,0.0002269242871022481,0.2201744272507856,1.0
lfm2_5_1_2b_instruct,lfm2_5_1_2b_thinking,0.08174003873552593,0.9182599612644741,0.8332088010712058,0.0,0.0,1.0,0.029068263328558736,0.000200380331501826,0.194882733228525,1.0
