model_a,model_b,rep_mean_cka,rep_mean_rsa,weight_cosine,weight_l2
gemma3_1b_it,gemma3_4b_it,0.7452105496610913,0.8445264308523741,-0.0303489813002547,290.6945329009849
gemma3_1b_it,gemma3_4b_pt,0.6749272474220821,0.814568604964365,-0.0304427089390071,291.0607009858869
gemma3_1b_it,lfm2_5_1_2b_base,0.7647576757839748,0.7639836560310193,-0.0428445540920447,142.57214630993522
gemma3_1b_it,lfm2_5_1_2b_instruct,0.7698400020599365,0.7630292129023718,-0.0430845876022791,142.5712267879287
gemma3_1b_it,lfm2_5_1_2b_thinking,0.7336478914533343,0.7059300124448143,-0.0457510147228866,142.58256150157118
gemma3_1b_pt,gemma3_4b_it,0.6240917188780648,0.8325464630876107,-0.0259409071627757,331.58780205894
gemma3_1b_pt,gemma3_4b_pt,0.8155189241681781,0.8344285663721258,-0.0259849670498495,331.9073417493605
gemma3_1b_pt,lfm2_5_1_2b_base,0.7545394599437714,0.7347555979567078,-0.0465185284453947,212.69972215636423
gemma3_1b_pt,lfm2_5_1_2b_instruct,0.73506041935512,0.7200886075480709,-0.0467528937169302,212.69920442370235
gemma3_1b_pt,lfm2_5_1_2b_thinking,0.7894810608455113,0.6889187976309957,-0.0490060496094681,212.70878444509415
gemma3_4b_it,gemma3_4b_pt,0.7360553741455078,0.9554741167454746,0.9999892563954322,1.22629329692179
gemma3_4b_it,lfm2_5_1_2b_base,0.6940978339740208,0.7848019753086726,0.1719959805629448,248.09851521402337
gemma3_4b_it,lfm2_5_1_2b_instruct,0.7156177844320025,0.7635423333200535,0.1721633530323749,248.1011262148745
gemma3_4b_it,lfm2_5_1_2b_thinking,0.6469925258840833,0.7177373192701705,0.1730433519489487,248.10834691964465
gemma3_4b_pt,lfm2_5_1_2b_base,0.6919382640293666,0.7853676820793697,0.1717620398082487,248.50664462076887
gemma3_4b_pt,lfm2_5_1_2b_instruct,0.6968018455164773,0.7546100827343839,0.171928785548615,248.50925561657223
gemma3_4b_pt,lfm2_5_1_2b_thinking,0.7295297469411578,0.7390402144789638,0.1728096217792126,248.51645050456
lfm2_5_1_2b_base,lfm2_5_1_2b_instruct,0.9561620695250375,0.9115814379817296,0.999997100664468,0.0350366202826255
lfm2_5_1_2b_base,lfm2_5_1_2b_thinking,0.9379439609391349,0.8333422893615126,0.9997730757128978,0.2201744272507856
lfm2_5_1_2b_instruct,lfm2_5_1_2b_thinking,0.9182599612644741,0.8332088010712058,0.9997996196684982,0.194882733228525
