edge_type,model_from,model_to,layer,cka_before,cka_after,cka_gain,procrustes_before,procrustes_after,procrustes_gain,operator_r2_train,operator_r2,operator_fro,operator_trace_mean,operator_spectral_entropy,operator_spectral_pr
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_10,0.7385678887367249,0.9082556366920471,0.16968774795532227,0.042282614133544186,0.026074707106723525,0.01620790702682066,0.9987411307585398,0.883927088819125,139.74769592285156,-0.008787238970398903,5.267471790313721,107.48735046386719
it_lineage,gemma2_2b_it,gemma3_1b_it,layer_12,0.7646228671073914,0.8994967937469482,0.13487392663955688,0.04220900811254081,0.02712380296723013,0.015085205145310678,0.9995227656572856,0.8824921094769743,178.08319091796875,-0.006174944341182709,5.220270156860352,94.44442749023438
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_0,0.9935052394866943,0.9998371601104736,0.006331920623779297,0.008135524350875799,0.0036174647884625083,0.004518059562413291,0.998276297359856,0.9975822068608841,6.85304594039917,-0.00013411813415586948,4.018245697021484,53.202613830566406
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_2,0.8849528431892395,0.9969123005867004,0.11195945739746094,0.031225551325564992,0.006500153392913162,0.02472539793265183,0.9991350738136375,0.9927663487130187,27.002639770507812,0.002172171138226986,4.944276809692383,91.32555389404297
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_4,0.8238565325737,0.9868589043617249,0.1630023717880249,0.03649430512322653,0.011294634148532542,0.02519967097469399,0.9994378664479817,0.98012774629087,37.74361038208008,-0.0005887820152565837,5.037333965301514,83.228759765625
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_6,0.7390453219413757,0.9736403226852417,0.23459500074386597,0.05380676703732686,0.014987302283501947,0.03881946475382492,0.9998963737007253,0.9724709440060824,63.35090255737305,0.0038056550547480583,4.950342655181885,43.82511520385742
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_8,0.6890169978141785,0.9147269129753113,0.2257099151611328,0.053091119328072395,0.026168894824564914,0.02692222450350748,0.9999784215739442,0.916464936819332,72.447265625,-0.003499428043141961,4.957662105560303,37.93153381347656
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_10,0.4007878005504608,0.9454341530799866,0.5446463525295258,0.08126580761920985,0.022126012356016016,0.05913979526319383,0.9999975623969444,0.9406735443380625,69.80733489990234,-0.0014597735134884715,4.933805465698242,31.721769332885742
it_lineage,gemma3_1b_it,gemma3_4b_it,layer_12,0.5513960719108582,0.899351179599762,0.3479551076889038,0.0751704249686919,0.030422655804606513,0.04474776916408539,0.9999992297103173,0.8928578901981429,105.19955444335938,-0.004079969599843025,4.747891426086426,19.39627456665039
pt_lineage,gemma2_2b,gemma3_1b_pt,layer_0,0.9882202744483948,0.9997994899749756,0.01157921552658081,0.010545578103937591,0.003356787431906926,0.007188790672030665,0.9992279554665674,0.9980271911349604,4.424280166625977,-6.239159847609699e-05,4.039061546325684,54.80739212036133
pt_lineage,gemma2_2b,gemma3_1b_pt,layer_2,0.8211995363235474,0.995268702507019,0.17406916618347168,0.033302450152747604,0.008490657558009896,0.02481179259473771,0.9979457247186788,0.9876277852331036,49.95443344116211,0.0010714642703533173,4.8301801681518555,84.75862884521484
pt_lineage,gemma2_2b,gemma3_1b_pt,layer_4,0.875050961971283,0.9956938028335571,0.12064284086227417,0.030480274231925633,0.009421907646684675,0.02105836658524096,0.9980974947772866,0.9842764378610782,62.14789581298828,0.0007075257017277181,4.955040454864502,94.5451889038086
pt_lineage,gemma2_2b,gemma3_1b_pt,layer_6,0.8013941049575806,0.9806931018829346,0.179298996925354,0.0362081802492798,0.013234874179404913,0.022973306069874883,0.9979162762778875,0.97273691465389,90.9804916381836,-0.0005028277519159019,5.117183685302734,102.58030700683594
pt_lineage,gemma2_2b,gemma3_1b_pt,layer_8,0.5719204545021057,0.9746536612510681,0.4027332067489624,0.0582870614658876,0.014598993027141887,0.04368806843874572,0.9990273723077722,0.9692459722462332,130.54580688476562,0.0018230897840112448,5.157918930053711,86.86306762695312
pt_lineage,gemma2_2b,gemma3_1b_pt,layer_10,0.6185157895088196,0.9552159309387207,0.3367001414299011,0.05071569843097945,0.019254487106778708,0.03146121132420074,0.9989693665487036,0.9426994591442371,159.8489532470703,0.0016233143396675587,5.214941501617432,97.39691162109375
pt_lineage,gemma2_2b,gemma3_1b_pt,layer_12,0.645566999912262,0.952933669090271,0.30736666917800903,0.0485902288640246,0.01955009269547345,0.02904013616855115,0.9994690138939246,0.9342314405326207,207.60931396484375,0.005619592498987913,5.229730606079102,109.63705444335938
pt_lineage,gemma3_1b_pt,gemma3_4b_pt,layer_0,0.9951851963996887,0.9998474717140198,0.004662275314331055,0.007270087227448886,0.0037765098005929673,0.0034935774268559185,0.9983920287672193,0.9974390967091248,6.198619842529297,8.80796869751066e-05,4.017733573913574,53.200313568115234
