model_a,model_b,layer,metric,boot_mean,ci_low,ci_high,n_boot,boot_sample_size
gemma2_2b,gemma3_1b_it,layer_12,cka,0.6817090660333633,0.6406679600477219,0.7213761523365975,40,180
gemma2_2b,gemma3_1b_it,layer_12,rsa_spearman,0.7749863686970756,0.7266716765136001,0.8107324440692745,40,180
gemma2_2b,gemma3_1b_it,layer_4,cka,0.84363244920969,0.8271595269441605,0.8600538462400437,40,180
gemma2_2b,gemma3_1b_it,layer_4,rsa_spearman,0.6687524711703527,0.6333610144262843,0.7141621550631047,40,180
gemma2_2b,gemma3_1b_it,layer_8,cka,0.6228964492678642,0.5857820481061935,0.6616242572665214,40,180
gemma2_2b,gemma3_1b_it,layer_8,rsa_spearman,0.7558113326301501,0.7133262888809704,0.7873412319566095,40,180
gemma2_2b,gemma3_1b_pt,layer_0,cka,0.9901725798845291,0.988238950073719,0.9916394397616386,40,180
gemma2_2b,gemma3_1b_pt,layer_0,rsa_spearman,0.8704038450958048,0.8550209756752806,0.8878603569365348,40,180
gemma2_2b,gemma3_1b_pt,layer_12,cka,0.6788074105978013,0.6380559399724006,0.7236818313598632,40,180
gemma2_2b,gemma3_1b_pt,layer_12,rsa_spearman,0.7531519729874911,0.7100680713727736,0.7968992403932729,40,180
gemma2_2b,gemma3_1b_pt,layer_4,cka,0.9104236617684365,0.9009154960513115,0.924970418214798,40,180
gemma2_2b,gemma3_1b_pt,layer_4,rsa_spearman,0.540361668302906,0.5059683294896475,0.5938712983716585,40,180
gemma2_2b,gemma3_1b_pt,layer_8,cka,0.5895886495709419,0.5613108932971954,0.6179022908210754,40,180
gemma2_2b,gemma3_1b_pt,layer_8,rsa_spearman,0.7682542832578763,0.7309777567494062,0.8088011206849863,40,180
gemma2_2b,gemma3_4b_it,layer_0,cka,0.991632328927517,0.9900586903095245,0.9930050194263458,40,180
gemma2_2b,gemma3_4b_it,layer_0,rsa_spearman,0.9088598491738977,0.8952113161364182,0.9199384106116553,40,180
gemma2_2b,gemma3_4b_it,layer_12,cka,0.4680088222026825,0.3924938432872295,0.5142373457551003,40,180
gemma2_2b,gemma3_4b_it,layer_12,rsa_spearman,0.8631330001255797,0.8311165435105369,0.891686077835777,40,180
gemma2_2b,gemma3_4b_it,layer_4,cka,0.9313522711396217,0.9219537600874901,0.9441765576601029,40,180
gemma2_2b,gemma3_4b_it,layer_4,rsa_spearman,0.5436976663947393,0.4933518448689467,0.6094595422681961,40,180
gemma2_2b,gemma3_4b_it,layer_8,cka,0.576969961822033,0.5187964379787445,0.6209238663315773,40,180
gemma2_2b,gemma3_4b_it,layer_8,rsa_spearman,0.8127704016187325,0.7808545788335618,0.840147099651117,40,180
gemma2_2b,gemma3_4b_pt,layer_0,cka,0.9918735399842262,0.9903027787804604,0.9933020576834679,40,180
gemma2_2b,gemma3_4b_pt,layer_0,rsa_spearman,0.912052377663057,0.8995194494596276,0.9249545807191569,40,180
gemma2_2b,gemma3_4b_pt,layer_12,cka,0.5379853405058383,0.4842741690576077,0.5829930409789085,40,180
gemma2_2b,gemma3_4b_pt,layer_12,rsa_spearman,0.8639381824754768,0.8313804647067314,0.8921050514256756,40,180
gemma2_2b,gemma3_4b_pt,layer_4,cka,0.891176438331604,0.8788830772042274,0.9094402894377709,40,180
gemma2_2b,gemma3_4b_pt,layer_4,rsa_spearman,0.5436917339538003,0.4984517409423046,0.6060994931403797,40,180
gemma2_2b,gemma3_4b_pt,layer_8,cka,0.58678540289402,0.5425964310765267,0.620910358428955,40,180
gemma2_2b,gemma3_4b_pt,layer_8,rsa_spearman,0.7912601123101684,0.7464850507323713,0.8175677341990101,40,180
gemma2_2b,lfm2_5_1_2b_base,layer_0,cka,0.9864439323544503,0.983760641515255,0.9880340605974197,40,180
gemma2_2b,lfm2_5_1_2b_base,layer_0,rsa_spearman,0.8951823163376602,0.8808160608906771,0.9087620067964486,40,180
gemma2_2b,lfm2_5_1_2b_base,layer_12,cka,0.9523230463266372,0.9459682464599609,0.9571433365345001,40,180
gemma2_2b,lfm2_5_1_2b_base,layer_12,rsa_spearman,0.871218914376958,0.8304828482029386,0.8979566087871866,40,180
gemma2_2b,lfm2_5_1_2b_base,layer_4,cka,0.9605426400899887,0.9561290934681892,0.9654857605695725,40,180
gemma2_2b,lfm2_5_1_2b_base,layer_4,rsa_spearman,0.6296427625608544,0.5927333238771297,0.6692248173585567,40,180
gemma2_2b,lfm2_5_1_2b_base,layer_8,cka,0.9463227331638336,0.9397744789719582,0.954234279692173,40,180
gemma2_2b,lfm2_5_1_2b_base,layer_8,rsa_spearman,0.7260177414610206,0.6889095747433608,0.772106382635925,40,180
gemma2_2b,lfm2_5_1_2b_instruct,layer_0,cka,0.9866632252931595,0.9841073364019394,0.9882380977272988,40,180
gemma2_2b,lfm2_5_1_2b_instruct,layer_0,rsa_spearman,0.8946229964267184,0.8805647339937973,0.9076940435742535,40,180
gemma2_2b,lfm2_5_1_2b_instruct,layer_12,cka,0.8888031870126725,0.8752156868577003,0.9078544646501541,40,180
gemma2_2b,lfm2_5_1_2b_instruct,layer_12,rsa_spearman,0.8167831878883314,0.76551449191743,0.8605152330004978,40,180
gemma2_2b,lfm2_5_1_2b_instruct,layer_4,cka,0.9627773061394691,0.957767927646637,0.9685958117246628,40,180
gemma2_2b,lfm2_5_1_2b_instruct,layer_4,rsa_spearman,0.6458730412172191,0.6032483720027867,0.6782454851339105,40,180
gemma2_2b,lfm2_5_1_2b_instruct,layer_8,cka,0.9353816404938697,0.9282842054963112,0.9413237378001214,40,180
gemma2_2b,lfm2_5_1_2b_instruct,layer_8,rsa_spearman,0.7693020629802446,0.7298270039551153,0.8031991092664912,40,180
gemma2_2b,lfm2_5_1_2b_thinking,layer_0,cka,0.9856612056493759,0.9830656230449677,0.9877184897661209,40,180
gemma2_2b,lfm2_5_1_2b_thinking,layer_0,rsa_spearman,0.9056177732044894,0.8930307701080394,0.9203256690277465,40,180
gemma2_2b,lfm2_5_1_2b_thinking,layer_12,cka,0.8639436513185501,0.8447517171502114,0.8868587672710418,40,180
gemma2_2b,lfm2_5_1_2b_thinking,layer_12,rsa_spearman,0.6040245152445238,0.5281331193303588,0.6555264951709505,40,180
gemma2_2b,lfm2_5_1_2b_thinking,layer_4,cka,0.9390543013811111,0.9325583592057228,0.9481579720973968,40,180
gemma2_2b,lfm2_5_1_2b_thinking,layer_4,rsa_spearman,0.5086224161701125,0.4689184831235154,0.5459008273405067,40,180
gemma2_2b,lfm2_5_1_2b_thinking,layer_8,cka,0.8829064264893531,0.8719872698187828,0.8943537428975106,40,180
gemma2_2b,lfm2_5_1_2b_thinking,layer_8,rsa_spearman,0.6562343186543268,0.6175444425638321,0.7023886566778582,40,180
gemma2_2b_it,gemma3_1b_it,layer_0,cka,0.9889305472373963,0.9869877398014069,0.9905062690377235,40,180
gemma2_2b_it,gemma3_1b_it,layer_0,rsa_spearman,0.8527178920397642,0.830677137705386,0.8744804322705683,40,180
gemma2_2b_it,gemma3_1b_it,layer_12,cka,0.7487236842513084,0.7180815562605858,0.7771640673279763,40,180
gemma2_2b_it,gemma3_1b_it,layer_12,rsa_spearman,0.8547899992826296,0.8365846586835813,0.8705773666221641,40,180
