model_a,model_b,layer,domain,cka,rsa_spearman,knn_overlap,procrustes_residual
gemma1_1_2b_it,lfm2_5_1_2b_instruct,layer_8,symbolic_code,0.9249572157859802,0.7561978723993603,0.6443112443112443,0.04158046342483118
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_0,algebraic_geometry,0.6357283592224121,0.8347838066761233,0.7190337440337442,0.07831422519245812
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_0,analogy_composition,0.6412138342857361,0.653183747195442,0.642069042069042,0.08031894599597808
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_0,factual_recall,0.6093543171882629,0.7289246680088696,0.6536685536685537,0.07968937405906582
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_0,logical_reasoning,0.6372467875480652,0.6631308706193134,0.677874902874903,0.08277429613802101
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_0,narrative_structure,0.6343728303909302,0.7930238491290017,0.6974691974691974,0.08404339184729584
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_0,symbolic_code,0.6866454482078552,0.8005131666610782,0.7126318126318125,0.07626655751238855
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_12,algebraic_geometry,0.9171532988548279,0.7525067170891788,0.6864801864801865,0.04288687171562621
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_12,analogy_composition,0.8931058645248413,0.6445599231416297,0.5826257076257075,0.046641488659110136
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_12,factual_recall,0.9024412631988525,0.6810855807457535,0.5687090687090687,0.04603373023139429
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_12,logical_reasoning,0.881902813911438,0.6059318858729009,0.5922040922040922,0.04860194039033724
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_12,narrative_structure,0.9426915645599365,0.7627486197712035,0.6093018093018094,0.03857683461954752
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_12,symbolic_code,0.9002761840820312,0.70722748590614,0.5738788988788989,0.04711859455930677
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_4,algebraic_geometry,0.9274315237998962,0.8138380055311201,0.7161505161505162,0.039254293983358696
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_4,analogy_composition,0.9214450120925903,0.6774909357564908,0.7005328005328006,0.040829665726347025
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_4,factual_recall,0.9316318035125732,0.7820697819187477,0.7003108003108004,0.03804817396763322
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_4,logical_reasoning,0.915626585483551,0.7302976803992204,0.6778221778221778,0.04243284982958917
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_4,narrative_structure,0.9442846775054932,0.8221820662830551,0.6773337773337772,0.038967924341113166
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_4,symbolic_code,0.9375597834587097,0.767879411666086,0.6385170385170387,0.03817973244408763
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_8,algebraic_geometry,0.8603937029838562,0.6702213177011882,0.6178821178821178,0.04923111512441305
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_8,analogy_composition,0.864652156829834,0.5561936446058457,0.5716394716394716,0.05204913866181101
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_8,factual_recall,0.8862694501876831,0.7066280139429714,0.6519591519591521,0.046101564858271764
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_8,logical_reasoning,0.8363342881202698,0.5955373452664019,0.5944694194694194,0.05442088576848276
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_8,narrative_structure,0.9432911276817322,0.7420210602431419,0.6706848706848708,0.038807457115753646
gemma1_1_2b_it,lfm2_5_1_2b_thinking,layer_8,symbolic_code,0.9141008257865906,0.743822391852313,0.5962370962370961,0.04605038554485157
gemma2_2b,gemma2_2b_it,layer_0,algebraic_geometry,0.9999926090240479,0.9999546605592059,1.0,0.0005130748615055108
gemma2_2b,gemma2_2b_it,layer_0,analogy_composition,0.9999882578849792,0.9999236081447713,1.0,0.0005333635777071176
gemma2_2b,gemma2_2b_it,layer_0,factual_recall,0.9999909400939941,0.9999068427566963,0.9878787878787879,0.000531101553463094
gemma2_2b,gemma2_2b_it,layer_0,logical_reasoning,0.9999923706054688,0.9999355625953987,0.9878787878787879,0.0005115394838032596
gemma2_2b,gemma2_2b_it,layer_0,narrative_structure,0.9999920725822449,0.9999478086179926,0.993939393939394,0.0005137947916465812
gemma2_2b,gemma2_2b_it,layer_0,symbolic_code,0.999991238117218,0.9999483917619255,1.0,0.0005053501505209021
gemma2_2b,gemma2_2b_it,layer_12,algebraic_geometry,0.9552412629127502,0.902646890312084,0.7271173271173271,0.029863823125362326
gemma2_2b,gemma2_2b_it,layer_12,analogy_composition,0.9011411070823669,0.8536590095008725,0.6982017982017983,0.040699347828614695
gemma2_2b,gemma2_2b_it,layer_12,factual_recall,0.9063410758972168,0.8324999234623588,0.672793872793873,0.042696698615121306
